Comment,Designator,Footprint,LCSC Part #,Quantity,Total Price
RP2350_60QFN,U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118,1,$1.65
4.7u,"C10, C6, C7, C9",402,C23733,4,$0.26
15p,"C3, C4",402,C1548,2,$0.10
33,R5,402,C25105,1,$0.06
USB3_A,J1,USB3_A_Plug_Wuerth_692112030100_Horizontal,C7527682,1,$0.44
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795,1,$0.41
1k,"R2, R4, R6",402,C11702,3,$0.06
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C26537,1,$1.31
3.3u,L1,L_pol_2016,C42411119,1,$1.29
0,R10,402,C17168,1,$0.06
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1,$0.76
SW_Push,SW3,SW_Push_SPST_NO_Alps_SKRK,C115357,1,$0.63
330Î©,R3,805,C17630,1,$0.19
10u,"C1, C19, C5",805,C15850,3,$0.22
100n,"C11, C12, C13, C14, C15, C16, C17, C18, C2, C8",402,C1525,10,$0.12
SW_Push,"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C5504987,2,$1.86
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1,$0.37
27,"R7, R8",402,C25100,2,$0.06
,,,,,
Additonal Stuff:,,,,,
PCB - $4.2,,,,,
"Enclosure (3D Printed Case and Top) - Bottom: $10.89, Top(Transparent Resin): $14.40",,,,,
Screws - $0.132,,,,,
"PCBA Costs - $60.66 (I need to solder RGBs, MOQ: 5, Total Cost: $0.41)",,,,,
